proposed_group_id,bcode,descr,evidence,confidence,hq_qtymin,hq_qtyoh2,syp_qtyoh2,notes
G011,30051611,สายไมล์ ยาว 104.5 ซม.,REMARKS on 30051196: ใช้รหัส 30051193 แทน; REMARKS on 30051611: ใช้รหัส 30051193 แทนค่ะ,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G012,30051365,แหวนรองเพลาล้อหน้า,REMARKS on 30051365: เหมือน 30052066  ใช้แทน 30052067; REMARKS on 30052066: 5-07-112-06  ใช้แทนรหัส 30052067,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G012,30052066,แผ่นชิมรองเฟืองขับหน้า (0.60),REMARKS on 30051365: เหมือน 30052066  ใช้แทน 30052067; REMARKS on 30052066: 5-07-112-06  ใช้แทนรหัส 30052067,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G012,30052067,แผ่นชิมรองเฟืองขับหน้า (0.80),REMARKS on 30051365: เหมือน 30052066  ใช้แทน 30052067; REMARKS on 30052066: 5-07-112-06  ใช้แทนรหัส 30052067,high,3,11,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G013,30052110,ซีลล้อหลังคูโบต้า,REMARKS on 30052110: ใช้รหัส 30052485 แทนคะ; REMARKS on 30052876: TC403-27560 สั่งสวนมะลิ ของหมด30/7/69 ใช้รหัส30052485แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G013,30052485,ซีลล้อหลังคูโบต้า,REMARKS on 30052110: ใช้รหัส 30052485 แทนคะ; REMARKS on 30052876: TC403-27560 สั่งสวนมะลิ ของหมด30/7/69 ใช้รหัส30052485แทน,high,-1,10,6,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G013,30052876,ซีลล้อหลังคูโบต้า L-1 (22-24 แรง),REMARKS on 30052110: ใช้รหัส 30052485 แทนคะ; REMARKS on 30052876: TC403-27560 สั่งสวนมะลิ ของหมด30/7/69 ใช้รหัส30052485แทน,high,1,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G015,02051520,ไส้กรองโซล่า เหล็ก ก.16NF,REMARKS on 02051520: ใช้รหัส 02053453 แทนค่ะ,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G015,02053453,ไส้กรองโซล่า เหล็ก ก.16NF,REMARKS on 02051520: ใช้รหัส 02053453 แทนค่ะ,high,2,4,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G016,03011921,ไส้กรองอากาศ แอร์,REMARKS on 03011921: ใช้รหัส03012099แทนครับ,high,-1,10,3,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G016,03012099,กรองแอร์ ISUZU,REMARKS on 03011921: ใช้รหัส03012099แทนครับ,high,4,8,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G017,03012840,"จานคลัช 8""x10Tx25.6m",REMARKS on 03012840: ใช้ 30050256 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G017,30050256,"จานคลัช 8""x10Tx25.6m มีปริง",REMARKS on 03012840: ใช้ 30050256 แทน,high,0,2,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G018,03052531,มูเลย์ข้อเหวี่ยงหน้า 3ร่อง,REMARKS on 03052532: พี่นกแจ้งว่าให้ใช้ 3ร่องใส่แทนได้เลย รหัส 03052531 ค่ะ,high,0,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G018,03052532,มูเลย์ข้อเหวี่ยงหน้า 2ร่อง,REMARKS on 03052532: พี่นกแจ้งว่าให้ใช้ 3ร่องใส่แทนได้เลย รหัส 03052531 ค่ะ,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G019,03054211,ยางหูแหนบหลังผ้าใบ,REMARKS on 03054211: ใช้รหัส03054214แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G019,03054214,ยางหูแหนบหลังผ้าใบ,REMARKS on 03054211: ใช้รหัส03054214แทน,high,7,28,13,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G020,03056613,สายเพาเวอร์ ยาว 24 นิ้ว,REMARKS on 03056615: ใช่รหัสนี้แทน03056613,high,0,2,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G020,03056615,สายเพาเวอร์,REMARKS on 03056615: ใช่รหัสนี้แทน03056613,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G021,03056900,ปะเก็นฝาวาว,REMARKS on 03056903: ใช้รหัส 03056900 แทนค่ะ,high,1,4,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G021,03056903,ปะเก็นฝาวาว 4JA,REMARKS on 03056903: ใช้รหัส 03056900 แทนค่ะ,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G022,04019890,กระจกมองข้าง ยาว,REMARKS on 04019890: ใช้รหัส 04019893 แทนค่ะ // SKM 185.-/SMA 180.-,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G022,04019893,กระจกมองข้าง ยาว,REMARKS on 04019890: ใช้รหัส 04019893 แทนค่ะ // SKM 185.-/SMA 180.-,high,1,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G025,05015200,กระจกมองข้าง ดำ,REMARKS on 05015200: ใช้รหัส 05015202 แทน,high,-1,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G025,05015202,กระจกมองข้าง ดำ,REMARKS on 05015200: ใช้รหัส 05015202 แทน,high,0,1,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G027,07010524,ไส้กรองเครื่อง เหล็ก ก. 1.5,REMARKS on 07010524: 1540061003  ใช้รหัสแทน 07018661,high,3,7,5,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G027,07018661,ไส้กรองเครื่อง เหล็ก ก. 1.5,REMARKS on 07010524: 1540061003  ใช้รหัสแทน 07018661,high,-1,1,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G029,07017410,ไส้กรองโซล่า ก.มิล 1.5,REMARKS on 07017410: 1644499128 /ใช้รหัส 07017413 แทนค่ะ,high,-1,1,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G029,07017413,ไส้กรองโซล่า ก.มิล 1.5,REMARKS on 07017410: 1644499128 /ใช้รหัส 07017413 แทนค่ะ,high,1,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G030,07051908,คอยล์เย็น,REMARKS on 07051908: ราคา 3 ให้เฉพาะช่างเท่านั้นค่ะ ใช้รหัส07052194แทนครับ,high,-1,1,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G030,07052194,คอยล์เย็น,REMARKS on 07051908: ราคา 3 ให้เฉพาะช่างเท่านั้นค่ะ ใช้รหัส07052194แทนครับ,high,0,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G031,07051914,โบเวอร์/พัดลมแอร์,REMARKS on 07051914: ใช้รหัส 07052195แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G031,07052195,โบเวอร์/พัดลมแอร์,REMARKS on 07051914: ใช้รหัส 07052195แทน,high,0,1,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G032,08010030,เฟืองสตาร์ท แม่เหล็ก,REMARKS on 08010030: E58-510016 STKG 260.-/ใช้รหัส08014874แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G032,08014874,เฟืองสตาร์ท แม่เหล็ก,REMARKS on 08010030: E58-510016 STKG 260.-/ใช้รหัส08014874แทน,high,0,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G033,08010671,ลูกหมากคันชักสั้นT13 รู14m,REMARKS on 08010671: CKK  GMB  288- ใช้รหัส08014948แทน,high,-1,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G033,08014948,ลูกหมากคันชักสั้นT13 รู14m,REMARKS on 08010671: CKK  GMB  288- ใช้รหัส08014948แทน,high,0,2,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G034,08018280,ยางหูแหนบหลัง,REMARKS on 08018280: ใช้รหัส08018281แทน,high,-1,1,6,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G034,08018281,ยางหูแหนบหลัง,REMARKS on 08018280: ใช้รหัส08018281แทน,high,5,20,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G035,08054532,ลูกหมากปีกนกล่าง,REMARKS on 08054532: ใช้รหัส08056895แทน,high,-1,0,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G035,08056895,ลูกหมากปีกนกล่าง,REMARKS on 08054532: ใช้รหัส08056895แทน,high,1,2,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G036,08055323,ยางหูแหนบหลัง ล่าง สั้น,REMARKS on 08055323: ใช้รหัสแทน08056889,high,-1,10,6,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G036,08056889,ยางหูแหนบหลัง ล่าง สั้น,REMARKS on 08055323: ใช้รหัสแทน08056889,high,7,0,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G038,08056051,ปลั๊กท้ายราง,REMARKS on 08056051: ใช้รหัส 08056797 แทน,high,-1,0,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G038,08056797,ปลั๊กท้ายราง,REMARKS on 08056051: ใช้รหัส 08056797 แทน,high,1,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G039,08056076,สายเบรคมือ หน้า,REMARKS on 08056076: ใช้ 08056783 แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G039,08056783,สายเบรคมือ หน้า,REMARKS on 08056076: ใช้ 08056783 แทน,high,0,1,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G040,08056195,"แม่ปั้มเบรค 1""เสื้ออลูมิเนียม",REMARKS on 08056195: ใช้รหัส08056871แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G040,08056871,"แม่ปั้มเบรค 1"" เสื้อเหล็ก",REMARKS on 08056195: ใช้รหัส08056871แทน,high,1,2,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G041,11051619,แป๊บราวน้ำ/แป๊ปน้ำข้างเครื่อง,REMARKS on 11051619: MD370158 ยี่ห้อนี้ใส่ไม่เข้า ใช้รหัส 11052338 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G041,11052338,แป๊บราวน้ำ/แป๊ปน้ำข้างเครื่อง,REMARKS on 11051619: MD370158 ยี่ห้อนี้ใส่ไม่เข้า ใช้รหัส 11052338 แทน,high,0,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G042,12010120,ไดชาร์ท  12V,REMARKS on 12010120: F1 950.- SCG 1100.- STKG 950.- SCGของหมดแล้วใช้รหัส12010601แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G042,12010601,ไดชาร์ท  12V,REMARKS on 12010120: F1 950.- SCG 1100.- STKG 950.- SCGของหมดแล้วใช้รหัส12010601แทน,high,1,5,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G043,12010635,ชาพก้าน STD,REMARKS on 12010635: ใช้ 12010813 แทน,high,-1,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G043,12010813,ชาพก้าน STD,REMARKS on 12010635: ใช้ 12010813 แทน,high,0,3,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G044,12010738,แม่ปั้มคลัชบน (F028-1918),REMARKS on 12010738: TSP-F3496/      ตุรกี ของหมดค่ะ    ใช้12010815 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G044,12010815,แม่ปั้มคลัชบน (F028-1918),REMARKS on 12010738: TSP-F3496/      ตุรกี ของหมดค่ะ    ใช้12010815 แทน,high,1,2,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G048,12051822,ยอยกากบาทเพลาหน้านิวฮอลแลนด์,REMARKS on 12052651: 5191547  KMP1250.- ใช้รหัสแทน 12051822,high,1,0,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G048,12052651,ยอยกากบาทเพลาหน้านิวฮอลแลนด์,REMARKS on 12052651: 5191547  KMP1250.- ใช้รหัสแทน 12051822,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G049,12052139,ปริ้นตัว R,REMARKS on 12052139: ใช้แทน 12053262,high,20,145,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G049,12053262,ปริ้นตัว R,REMARKS on 12052139: ใช้แทน 12053262,high,-1,10,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G053,12052288,สวิทน้ำมันเครื่อง,REMARKS on 12052288: SMF ขาย 160.- 12/64 สินค้าหมด ใช้รหัส 12053393 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G053,12053393,สวิทน้ำมันเครื่อง,REMARKS on 12052288: SMF ขาย 160.- 12/64 สินค้าหมด ใช้รหัส 12053393 แทน,high,1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G054,12052407,"จานไถพรวน 26"" คมนอก",REMARKS on 12052676: ใช้ 12052407 แทนได้,high,8,21,7,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G054,12052676,"จานไถพรวน 26""  (ใช้ 12052407)",REMARKS on 12052676: ใช้ 12052407 แทนได้,high,-1,0,7,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G055,12052873,ปลอกต่อเฟืองเพลากลาง,REMARKS on 12052873: PB 450.- ไม่มีน็อตแถมใช้รหัสนี้แทน12053279,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G055,12053279,ปลอกต่อเพลาทรานเฟอร์,REMARKS on 12052873: PB 450.- ไม่มีน็อตแถมใช้รหัสนี้แทน12053279,high,1,3,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G057,12053036,ชุดกรองโซล่า เดี่ยว,"REMARKS on 12053036: SKKS หมด/KCY,SAE,SMF,P.T ไม่มี/ใช้รหัส12053700แทน",high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G057,12053700,ชุดกรองโซล่าเดี่ยว ประกอบเสร็จ,"REMARKS on 12053036: SKKS หมด/KCY,SAE,SMF,P.T ไม่มี/ใช้รหัส12053700แทน",high,0,2,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G058,12053061,จานคลัชจอนเดียร์ 4แฉก,REMARKS on 12053061: 4 แฉกของหมด ใช้รหัส 12053065 6 แฉกแทนค่ะ,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G058,12053065,"จานคลัช 6แฉก 11""19Tx35MM. สปริง",REMARKS on 12053061: 4 แฉกของหมด ใช้รหัส 12053065 6 แฉกแทนค่ะ,high,-1,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G060,12053793,แผ่นรองเฟืองขับดุม (ฝาดุม),REMARKS on 12053793: SKKS 4700.- ใช้ 12053934 แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G060,12053934,ฝาปิดดุมล้อหน้า M16X50 ก.1.5,REMARKS on 12053793: SKKS 4700.- ใช้ 12053934 แทน,high,0,2,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G061,12053867,เฟืองบายสี+เดือยหมู 10x32,REMARKS on 12053867: CAR65704 ใช้ 12053933 แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G061,12053933,เฟืองบายสี+เดือยหมู 10x32,REMARKS on 12053867: CAR65704 ใช้ 12053933 แทน,high,0,1,?,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G062,12053886,ชุดซ่อมกระบอกช่วยยก UHS45,REMARKS on 30052305: ยางปากกระบอก+ยางลูกสูบ ใช้รหัส 12053886 แทน,high,1,3,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G062,30052305,ชุดซ่อมกระบอกใบมีดหน้า,REMARKS on 30052305: ยางปากกระบอก+ยางลูกสูบ ใช้รหัส 12053886 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G064,13010881,พลาสติกตูดกรองดักน้ำ,REMARKS on 13051289: 78882-90180/      S.PRY 80.-/SMA 70.-/PIT หมด 52.-ใช้รหัส13010881แทน,high,2,14,3,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G064,13051289,พลาสติกตูดกรองดักน้ำ,REMARKS on 13051289: 78882-90180/      S.PRY 80.-/SMA 70.-/PIT หมด 52.-ใช้รหัส13010881แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G065,13011852,ลูกดูดโอโต,REMARKS on 13013013: UNP 65.- ใช้รหัส13011852แทนครับ,high,1,3,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G065,13013013,ลูกดูดโอโต,REMARKS on 13013013: UNP 65.- ใช้รหัส13011852แทนครับ,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G066,13012649,ไดเออร์,REMARKS on 13012649: ใช้รหัส 13013195 เป็นตัว 2 น็อตแทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G066,13013195,ไดเออร์,REMARKS on 13012649: ใช้รหัส 13013195 เป็นตัว 2 น็อตแทน,high,0,5,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G067,13012658,สวิทเพรชเชอร์,REMARKS on 13012658: ใช้รหัส13013317แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G067,13013317,สวิทเพรชเชอร์,REMARKS on 13012658: ใช้รหัส13013317แทน,high,0,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G069,13013144,ปั้มติ๊ก BOSCH ขาตรง,REMARKS on 35010126: หมดไม่สั้่ง ใช้13013144 แทน,high,5,33,3,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G069,35010126,ปั้มติ๊ก / ปั้มน้ำมันเชื้อเพลิง,REMARKS on 35010126: หมดไม่สั้่ง ใช้13013144 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G070,13016842,สายพาน,REMARKS on 13016842: ใช้รหัส13016844แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G070,13016844,สายพาน,REMARKS on 13016842: ใช้รหัส13016844แทน,high,1,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G072,13034175,หลอดไฟฮาโลเจน แฉก,REMARKS on 13034175: ใช้รหัส13050415แทนครับ,high,-1,4,5,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G072,13050415,หลอดไฟฮาโลเจน,REMARKS on 13034175: ใช้รหัส13050415แทนครับ,high,10,25,3,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G073,13034844,ฟิวส์เมนเสียบใหญ่ ขาตรง,REMARKS on 13051315: ของส่วนตัว มีรูป/ใช้รหัส13034844แทน,high,2,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G073,13051315,ฟิวส์เมนขาแยก,REMARKS on 13051315: ของส่วนตัว มีรูป/ใช้รหัส13034844แทน,high,-1,4,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
